"Trends"
"Levels of activity (More detailed - 7 categories)"
"Local Authority and County Council"
"Active: 840+ mins "
"","Nov 15-16","Nov 16-17","Nov 17-18","Nov 18-19","Nov 19-20","Nov 20-21","Nov 21-22","Nov 22-23"
"Wealden LA","26.7%","21.8%","26.9%","27.8%","25.8%","27.4%","30.4%","31.4%"
"Welwyn Hatfield LA","30.6%","25.8%","25.6%","22.3%","27.8%","26.1%","24.3%","28.8%"
"West Berkshire  LA","25.4%","26.1%","26.4%","25.7%","31.8%","25.2%","26.4%","29.4%"
"West Devon LA","25.6%","30.4%","24.8%","31.0%","31.2%","29.3%","32.0%","34.7%"
"West Lancashire LA","27.7%","24.5%","21.8%","26.0%","21.4%","25.3%","23.4%","28.1%"
"West Lindsey LA","20.6%","24.3%","25.3%","18.0%","22.5%","21.4%","20.9%","27.3%"
"West Northamptonshire LA","22.6%","22.2%","22.7%","23.8%","20.6%","21.3%","25.5%","28.5%"
"West Oxfordshire LA","21.9%","26.3%","27.4%","31.9%","25.3%","25.9%","24.5%","28.2%"
"West Suffolk LA","22.2%","24.6%","29.4%","24.7%","24.9%","22.5%","29.2%","28.6%"
"Westminster LA","25.2%","31.1%","28.4%","28.3%","28.6%","29.8%","32.4%","31.3%"
"Westmorland and Furness LA","28.9%","32.7%","31.8%","33.2%","31.4%","32.2%","35.0%","35.4%"
"Wigan LA","24.2%","21.9%","20.8%","22.7%","23.3%","23.9%","25.4%","28.7%"
"Wiltshire LA","31.1%","27.0%","22.2%","25.3%","31.2%","32.1%","30.3%","32.3%"
"Winchester LA","29.9%","28.2%","30.2%","34.5%","36.1%","28.3%","34.4%","32.1%"
"Windsor and Maidenhead  LA","29.6%","26.1%","29.0%","30.0%","27.0%","24.5%","32.8%","30.6%"
"Wirral LA","26.4%","24.7%","21.1%","30.0%","25.2%","21.8%","25.0%","23.7%"
"Woking LA","27.3%","23.8%","30.3%","27.8%","26.5%","26.6%","29.4%","26.4%"
"Wokingham  LA","24.3%","22.0%","32.4%","25.6%","23.1%","22.1%","22.3%","24.5%"
"Wolverhampton LA","19.8%","20.8%","24.0%","24.6%","18.9%","21.8%","24.1%","20.8%"
"Worcester LA","27.5%","29.9%","25.1%","24.0%","22.9%","23.4%","26.2%","27.0%"
"Worthing LA","27.1%","29.7%","27.5%","32.5%","24.7%","27.7%","26.2%","27.9%"
"Wychavon LA","22.9%","21.1%","22.0%","25.7%","25.6%","25.7%","27.4%","23.8%"
"Wyre Forest LA","30.1%","25.2%","23.1%","23.3%","23.5%","25.1%","24.4%","25.1%"
"Wyre LA","25.9%","25.6%","26.8%","24.4%","19.4%","25.9%","26.0%","25.9%"
"York  LA","25.4%","29.2%","34.8%","31.4%","28.4%","28.4%","27.6%","32.4%"
"Cambridgeshire CC","24.6%","25.5%","25.4%","26.7%","25.6%","23.4%","27.2%","25.6%"
"Cumbria CC","29.2%","31.1%","29.9%","30.6%","30.4%","32.5%","31.7%","-"
"Derbyshire CC","28.7%","26.3%","28.4%","25.9%","27.3%","27.2%","28.2%","29.3%"
"Devon CC","30.0%","31.4%","31.5%","30.3%","31.9%","30.9%","32.1%","31.3%"
"East Sussex CC","27.3%","23.9%","24.9%","26.6%","26.4%","25.8%","30.0%","28.4%"
"Essex CC","25.6%","23.1%","23.8%","24.3%","24.1%","23.5%","24.5%","27.7%"
"Gloucestershire CC","25.1%","27.4%","28.7%","28.2%","27.0%","28.7%","28.2%","31.7%"
"Hampshire CC","25.5%","26.7%","26.0%","25.6%","26.6%","25.9%","28.1%","27.4%"
"Hertfordshire CC","27.1%","24.1%","23.2%","25.9%","25.3%","24.0%","26.3%","27.4%"
"Kent CC","24.0%","26.4%","25.0%","24.7%","26.5%","24.8%","26.3%","28.7%"
"Lancashire CC","27.5%","26.7%","26.8%","26.9%","25.2%","25.7%","27.1%","28.3%"
"Leicestershire CC","23.9%","22.9%","23.5%","25.9%","25.2%","24.3%","24.5%","29.6%"
"Lincolnshire CC","24.5%","23.6%","23.3%","22.2%","21.8%","20.7%","24.0%","26.6%"
"Norfolk CC","24.2%","24.8%","23.3%","24.2%","24.0%","21.6%","25.4%","26.2%"
"North Yorkshire CC","29.5%","26.6%","29.0%","29.9%","26.9%","30.3%","31.3%","-"
"Nottinghamshire CC","24.3%","25.2%","27.5%","24.8%","25.1%","24.5%","26.2%","27.2%"
"Oxfordshire CC","27.0%","26.6%","28.1%","29.1%","27.4%","26.6%","27.7%","31.6%"
"Somerset CC","24.0%","25.4%","23.8%","27.5%","26.3%","25.4%","26.5%","-"
"Staffordshire CC","22.1%","22.2%","24.9%","24.7%","24.5%","23.1%","24.8%","27.9%"
"Suffolk CC","21.8%","23.0%","24.0%","23.2%","25.2%","23.2%","27.2%","26.2%"
"Surrey CC","26.9%","27.2%","27.6%","27.4%","27.2%","26.9%","31.4%","30.6%"
"Warwickshire CC","23.3%","22.2%","24.5%","25.5%","23.4%","23.0%","23.9%","25.4%"
"West Sussex CC","29.0%","25.4%","26.4%","28.7%","26.9%","27.4%","27.2%","28.3%"
"Worcestershire CC","27.4%","25.8%","23.6%","25.8%","23.0%","23.7%","24.2%","26.6%"
