"Trends"
"Levels of activity (More detailed - 7 categories)"
"Local Authority and County Council"
"Inactive: Light only"
"","Nov 15-16","Nov 16-17","Nov 17-18","Nov 18-19","Nov 19-20","Nov 20-21","Nov 21-22","Nov 22-23"
"West Devon LA","6.9%","7.9%","6.1%","7.5%","6.9%","8.5%","6.4%","9.3%"
"West Lancashire LA","7.2%","10.3%","9.2%","8.3%","9.9%","10.1%","7.7%","7.8%"
"West Lindsey LA","13.0%","13.9%","11.8%","12.9%","8.6%","13.1%","10.7%","9.9%"
"West Northamptonshire LA","10.9%","10.1%","8.3%","8.8%","11.5%","8.3%","8.7%","7.4%"
"West Oxfordshire LA","13.2%","10.3%","10.2%","11.3%","5.4%","9.8%","10.0%","10.9%"
"West Suffolk LA","10.5%","12.1%","8.3%","10.8%","7.6%","11.4%","6.9%","8.9%"
"Westminster LA","6.3%","7.2%","9.8%","11.4%","6.9%","7.6%","9.5%","7.1%"
"Westmorland and Furness LA","10.2%","8.7%","9.6%","9.5%","8.3%","7.1%","6.7%","6.2%"
"Wigan LA","10.9%","11.1%","8.8%","9.9%","10.0%","8.8%","9.4%","7.1%"
"Wiltshire LA","7.2%","11.5%","6.8%","8.3%","9.8%","8.5%","7.9%","6.7%"
"Winchester LA","9.9%","10.5%","7.0%","7.3%","7.3%","6.1%","8.1%","5.8%"
"Windsor and Maidenhead  LA","9.1%","7.8%","7.3%","9.2%","8.2%","9.5%","8.2%","8.6%"
"Wirral LA","9.0%","9.0%","12.3%","8.2%","6.9%","10.2%","8.8%","9.8%"
"Woking LA","11.0%","10.2%","7.1%","9.0%","10.7%","9.7%","6.4%","10.8%"
"Wokingham  LA","5.3%","9.9%","6.8%","8.2%","7.3%","10.9%","8.5%","8.4%"
"Wolverhampton LA","10.7%","11.1%","11.9%","10.9%","9.4%","9.2%","9.5%","9.6%"
"Worcester LA","7.5%","7.8%","8.2%","10.8%","7.8%","9.2%","8.7%","10.1%"
"Worthing LA","11.6%","13.1%","12.8%","7.8%","8.3%","10.8%","12.1%","7.7%"
"Wychavon LA","10.6%","11.9%","9.5%","6.3%","8.3%","9.2%","8.3%","9.6%"
"Wyre Forest LA","9.7%","8.6%","8.1%","9.4%","8.7%","6.5%","10.2%","6.0%"
"Wyre LA","13.3%","10.0%","10.9%","10.3%","11.7%","10.5%","8.9%","12.6%"
"York  LA","10.1%","9.2%","5.5%","6.8%","6.8%","9.2%","8.3%","7.6%"
"Cambridgeshire CC","9.3%","9.6%","9.4%","9.6%","9.2%","10.2%","10.2%","8.7%"
"Cumbria CC","9.1%","9.0%","9.6%","10.0%","9.7%","7.7%","8.4%","-"
"Derbyshire CC","7.6%","8.8%","9.2%","8.4%","9.5%","8.6%","8.1%","7.9%"
"Devon CC","8.0%","8.6%","7.3%","7.3%","7.3%","8.7%","6.6%","7.5%"
"East Sussex CC","9.5%","10.4%","10.1%","9.6%","8.2%","9.1%","8.4%","7.6%"
"Essex CC","10.5%","11.6%","9.2%","10.0%","9.4%","11.0%","9.8%","8.3%"
"Gloucestershire CC","8.6%","9.4%","8.0%","7.8%","8.7%","7.4%","8.4%","7.3%"
"Hampshire CC","10.7%","9.2%","8.7%","8.9%","8.2%","9.3%","8.2%","7.9%"
"Hertfordshire CC","8.9%","9.6%","9.1%","9.0%","7.5%","9.4%","7.8%","8.4%"
"Kent CC","10.3%","9.9%","9.1%","9.7%","9.0%","8.8%","8.8%","7.9%"
"Lancashire CC","9.7%","8.5%","8.5%","9.2%","9.3%","8.8%","8.4%","8.3%"
"Leicestershire CC","10.5%","9.3%","9.6%","8.3%","9.9%","9.6%","9.8%","6.5%"
"Lincolnshire CC","10.8%","11.9%","10.5%","12.2%","10.4%","11.4%","9.5%","9.1%"
"Norfolk CC","10.3%","11.5%","10.4%","10.8%","10.8%","10.7%","10.2%","10.3%"
"North Yorkshire CC","10.6%","9.9%","8.5%","8.3%","9.0%","8.9%","8.8%","-"
"Nottinghamshire CC","10.6%","10.1%","8.1%","9.4%","10.0%","9.9%","8.9%","9.1%"
"Oxfordshire CC","9.7%","9.0%","8.6%","8.3%","7.5%","9.0%","7.2%","7.5%"
"Somerset CC","8.4%","8.4%","10.2%","9.4%","9.1%","9.0%","8.8%","-"
"Staffordshire CC","10.9%","9.2%","9.8%","9.1%","8.9%","8.7%","7.8%","7.4%"
"Suffolk CC","11.8%","11.0%","9.3%","11.1%","8.6%","10.7%","10.5%","9.0%"
"Surrey CC","9.3%","8.6%","7.5%","8.1%","8.5%","8.2%","7.7%","8.0%"
"Warwickshire CC","9.7%","10.8%","10.2%","8.1%","8.4%","9.9%","9.9%","8.0%"
"West Sussex CC","10.2%","10.3%","9.9%","7.7%","10.0%","11.3%","9.7%","7.6%"
"Worcestershire CC","9.0%","9.2%","8.5%","9.0%","8.3%","9.2%","9.2%","8.4%"
