"measure","ethnicity","ethnicity_type","time","geography","geography_type","geography_code","gender","age","ns_sec","value","value_type","denominator","numerator","upper_95_c_i","lower_95_c_i","standard_error","sample_size"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2015 to Nov 2016","South East","Region","NA","All","16+","All","72.8","%","431","314","78.8","65.9","NA","369"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2016 to Nov 2017","South East","Region","NA","All","16+","All","75.4","%","409","309","80.8","69.1","NA","352"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2017 to Nov 2018","South East","Region","NA","All","16+","All","71.9","%","468","336","78.6","64.2","NA","325"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2018 to Nov 2019","South East","Region","NA","All","16+","All","74.4","%","478","356","79.4","68.7","NA","380"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2019 to Nov 2020","South East","Region","NA","All","16+","All","70.3","%","476","334","76.7","62.9","NA","380"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2021 to Nov 2022","South West","Region","NA","All","16+","All","78.3","%","196.7","154","86.2","67.6","4.8","151"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2020 to Nov 2021","South West","Region","NA","All","16+","All","70.8469131","%","198.688834452","140.764905912","81.1678935","57.8096604","NA","157"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2015 to Nov 2016","South West","Region","NA","All","16+","All","64.6","%","215","139","76.5","50.5","NA","153"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2016 to Nov 2017","South West","Region","NA","All","16+","All","74.9","%","217","163","82","66.1","NA","168"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2017 to Nov 2018","South West","Region","NA","All","16+","All","79.5","%","205","163","86.3","70.5","NA","141"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2018 to Nov 2019","South West","Region","NA","All","16+","All","67.8","%","184","125","77.6","56.3","NA","149"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2019 to Nov 2020","South West","Region","NA","All","16+","All","70.2","%","198","139","80.2","57.8","NA","139"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2021 to Nov 2022","West Midlands","Region","NA","All","16+","All","62.6","%","357.2","223.7","69.9","54.7","3.9","259"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2020 to Nov 2021","West Midlands","Region","NA","All","16+","All","61.0618433","%","290.173891055","177.185526774","70.6609847","50.5212227","NA","189"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2015 to Nov 2016","West Midlands","Region","NA","All","16+","All","70.6","%","276","195","79.1","60.5","NA","162"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2016 to Nov 2017","West Midlands","Region","NA","All","16+","All","63.8","%","294","188","72.5","54.1","NA","175"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2017 to Nov 2018","West Midlands","Region","NA","All","16+","All","65.5","%","311","204","74","55.9","NA","171"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2018 to Nov 2019","West Midlands","Region","NA","All","16+","All","55.4","%","303","168","64.3","46.1","NA","187"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2019 to Nov 2020","West Midlands","Region","NA","All","16+","All","59.4","%","323","192","68.7","49.3","NA","195"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2020 to Nov 2021","Yorkshire And The Humber","Region","NA","All","16+","All","65.0485451","%","191.160940707","124.347410678","79.8714575","46.6069169","NA","154"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2015 to Nov 2016","Yorkshire And The Humber","Region","NA","All","16+","All","59.2","%","163","96","72.2","44.8","NA","94"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2016 to Nov 2017","Yorkshire And The Humber","Region","NA","All","16+","All","68.2","%","184","125","79.1","54.9","NA","104"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2017 to Nov 2018","Yorkshire And The Humber","Region","NA","All","16+","All","60.1","%","241","145","70.9","48.2","NA","126"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2018 to Nov 2019","Yorkshire And The Humber","Region","NA","All","16+","All","72.9","%","233","170","80.6","63.4","NA","156"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2019 to Nov 2020","Yorkshire And The Humber","Region","NA","All","16+","All","64.5","%","227","147","76","51","NA","151"
"Percentage of people who are active","Mixed","ONS 2001 5+1","Nov 2021 to Nov 2022","Yorkshire and the Humber","Region","NA","All","16+","All","64.5","%","215.8","139.1","74.7","52.7","5.7","162"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","East","Region","NA","All","16+","All","63.5","%","15663.4","9942.2","64.4","62.6","0.5","18665"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","East","Region","NA","All","16+","All","61.2259786","%","16120.772701022","9870.100849975","62.1487836","60.295049","NA","18858"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","East","Region","NA","All","16+","All","61.5","%","18150","11170","62.5","60.6","NA","22222"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","East","Region","NA","All","16+","All","62.1","%","17865","11092","62.9","61.2","NA","21846"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","East","Region","NA","All","16+","All","61.9","%","16386","10137","62.8","61","NA","20071"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","East","Region","NA","All","16+","All","63","%","16617","10476","63.9","62.2","NA","20094"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","East","Region","NA","All","16+","All","62.8","%","16150","10136","63.7","61.8","NA","19155"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","East Midlands","Region","NA","All","16+","All","61.9","%","12513.6","7748.3","63","60.8","0.6","16400"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","East Midlands","Region","NA","All","16+","All","60.4561731","%","12637.846589443","7640.358416448","61.4206915","59.4834478","NA","18635"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","East Midlands","Region","NA","All","16+","All","61.9","%","14182","8772","62.8","60.9","NA","19725"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","East Midlands","Region","NA","All","16+","All","61.5","%","13895","8546","62.4","60.6","NA","19152"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","East Midlands","Region","NA","All","16+","All","62","%","12757","7908","63","61","NA","18712"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","East Midlands","Region","NA","All","16+","All","62.5","%","12879","8044","63.4","61.5","NA","18484"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","East Midlands","Region","NA","All","16+","All","61.4","%","12730","7819","62.4","60.4","NA","18417"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","England","Country","NA","All","16+","All","64.4","%","133981.4","86319.7","64.8","64.1","0.6","144097"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","England","Country","NA","All","16+","All","62.733799","%","136361.029930206","85544.454493523","63.0902447","62.3759639","NA","146284"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","England","Country","NA","All","16+","All","62.8","%","154220","96861","63.2","62.5","NA","167292"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","England","Country","NA","All","16+","All","62.9","%","151090","95001","63.2","62.6","NA","163434"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","England","Country","NA","All","16+","All","63.6","%","138267","87928","63.9","63.2","NA","149985"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","England","Country","NA","All","16+","All","64.6","%","139916","90401","65","64.3","NA","151336"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","England","Country","NA","All","16+","All","63.1","%","137006","86435","63.5","62.7","NA","147260"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","England","Country","NA","All","16-24","All","76.6","%","14382.7","11018.5","77.9","75.3","0.7","7241"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","England","Country","NA","All","16-24","All","72.3861367","%","14934.73488166","10810.677606233","73.7126303","71.0190235","NA","7666"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","England","Country","NA","All","16-24","All","79.6","%","19416","15451","80.6","78.5","NA","9830"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","England","Country","NA","All","16-24","All","78.1","%","18371","14354","79.2","77","NA","9255"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","England","Country","NA","All","16-24","All","78.1","%","16302","12733","79.3","76.9","NA","8061"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","England","Country","NA","All","16-24","All","77.9","%","15879","12369","79.1","76.6","NA","8148"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","England","Country","NA","All","16-24","All","75.6","%","15438","11670","76.8","74.3","NA","8528"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","England","Country","NA","All","16-74","NS SEC 1-2","74.7","%","51481.7","38471.8","75.2","74.3","0.2","69699"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","England","Country","NA","All","16-74","NS SEC 1-2","73.0027431","%","51267.4845562","37426.670040685","73.4440825","72.5568097","NA","69908"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","England","Country","NA","All","16-74","NS SEC 1-2","72.2","%","53943","38925","72.6","71.7","NA","80009"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","England","Country","NA","All","16-74","NS SEC 1-2","72.5","%","53826","39026","72.9","72.1","NA","78896"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","England","Country","NA","All","16-74","NS SEC 1-2","73","%","49941","36459","73.4","72.6","NA","73114"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","England","Country","NA","All","16-74","NS SEC 1-2","73.6","%","51278","37756","74.1","73.2","NA","74272"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","England","Country","NA","All","16-74","NS SEC 1-2","72.9","%","50791","37021","73.3","72.4","NA","70736"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","England","Country","NA","All","16-74","NS SEC 3-5","63.6","%","30208.9","19221","64.4","62.9","0.4","31774"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","England","Country","NA","All","16-74","NS SEC 3-5","61.9809061","%","31874.389643275","19756.035519379","62.7258786","61.2302472","NA","33221"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","England","Country","NA","All","16-74","NS SEC 3-5","62.4","%","37576","23449","63.1","61.7","NA","39178"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","England","Country","NA","All","16-74","NS SEC 3-5","62.8","%","38078","23920","63.5","62.2","NA","39668"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","England","Country","NA","All","16-74","NS SEC 3-5","63.9","%","34051","21773","64.6","63.3","NA","35869"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","England","Country","NA","All","16-74","NS SEC 3-5","64.3","%","34309","22060","65","63.6","NA","35573"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","England","Country","NA","All","16-74","NS SEC 3-5","63.3","%","33367","21113","64","62.5","NA","34391"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","England","Country","NA","All","16-74","NS SEC 6-7","57.1","%","17021.1","9726.5","58.3","56","0.6","12907"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","England","Country","NA","All","16-74","NS SEC 6-7","56.1441351","%","17802.149413651","9994.862816175","57.3129485","54.9684638","NA","13577"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","England","Country","NA","All","16-74","NS SEC 6-7","56.8","%","21907","12434","57.9","55.6","NA","15748"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","England","Country","NA","All","16-74","NS SEC 6-7","56.1","%","21832","12258","57.2","55.1","NA","15792"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","England","Country","NA","All","16-74","NS SEC 6-7","56.6","%","19369","10969","57.8","55.5","NA","13861"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","England","Country","NA","All","16-74","NS SEC 6-7","56.7","%","19109","10842","57.9","55.6","NA","13849"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","England","Country","NA","All","16-74","NS SEC 6-7","56.1","%","17954","10077","57.4","54.9","NA","13564"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","England","Country","NA","All","16-74","NS SEC 8","45.1","%","4267.7","1923.9","47.6","42.5","1.3","2561"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","England","Country","NA","All","16-74","NS SEC 8","48.930809","%","4668.257501572","2284.216160574","51.4337989","46.4331688","NA","2919"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","England","Country","NA","All","16-74","NS SEC 8","53.2","%","4542","2415","55.7","50.6","NA","2753"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","England","Country","NA","All","16-74","NS SEC 8","51","%","4574","2335","53.5","48.6","NA","2718"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","England","Country","NA","All","16-74","NS SEC 8","50.9","%","4312","2197","53.7","48.2","NA","2341"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","England","Country","NA","All","16-74","NS SEC 8","50.9","%","4055","2065","53.6","48.3","NA","2451"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","England","Country","NA","All","16-74","NS SEC 8","45.5","%","3991","1815","48.2","42.7","NA","2532"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","England","Country","NA","All","16-74","NS SEC 9","71.9","%","13576.3","9756.2","73.2","70.5","0.7","8123"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","England","Country","NA","All","16-74","NS SEC 9","68.2702186","%","13614.810106734","9294.860620595","69.646081","66.8616656","NA","8459"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","England","Country","NA","All","16-74","NS SEC 9","75.2","%","17897","13453","76.3","74.1","NA","10510"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","England","Country","NA","All","16-74","NS SEC 9","74.2","%","15798","11730","75.4","73.1","NA","8708"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","England","Country","NA","All","16-74","NS SEC 9","74.4","%","14467","10762","75.6","73.1","NA","8445"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","England","Country","NA","All","16-74","NS SEC 9","75.7","%","14083","10659","77","74.4","NA","7977"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","England","Country","NA","All","16-74","NS SEC 9","70.6","%","14467","10212","71.9","69.2","NA","9235"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","England","Country","NA","All","25-34","All","70.4","%","19163","13481.9","71.3","69.4","0.5","16636"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","England","Country","NA","All","25-34","All","67.7201543","%","19823.80224127","13424.709463195","68.7315891","66.6918577","NA","16487"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","England","Country","NA","All","25-34","All","71.4","%","21985","15702","72.4","70.4","NA","17691"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","England","Country","NA","All","25-34","All","70.2","%","21717","15251","71.2","69.3","NA","17551"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","England","Country","NA","All","25-34","All","71.9","%","19990","14370","72.8","70.9","NA","16470"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","England","Country","NA","All","25-34","All","70.5","%","20495","14447","71.5","69.5","NA","17321"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","England","Country","NA","All","25-34","All","69.1","%","20188","13941","70.1","68","NA","17227"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","England","Country","NA","All","35-44","All","69.6","%","17956.3","12492.4","70.5","68.6","0.5","18861"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","England","Country","NA","All","35-44","All","68.4833377","%","18490.602102926","12662.98147477","69.4041245","67.547797","NA","18980"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","England","Country","NA","All","35-44","All","70.2","%","21330","14972","71.1","69.3","NA","22976"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","England","Country","NA","All","35-44","All","70.2","%","20556","14425","71","69.3","NA","22286"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","England","Country","NA","All","35-44","All","70.2","%","18567","13031","71.1","69.3","NA","20286"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","England","Country","NA","All","35-44","All","70.3","%","18804","13228","71.2","69.4","NA","20697"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","England","Country","NA","All","35-44","All","69","%","18522","12777","69.9","68","NA","19426"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","England","Country","NA","All","45-54","All","69.8","%","21348.1","14896.8","70.6","68.9","0.4","22211"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","England","Country","NA","All","45-54","All","67.5054542","%","22175.812971465","14969.883266221","68.3488149","66.6505863","NA","23720"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","England","Country","NA","All","45-54","All","66.4","%","27408","18200","67.2","65.6","NA","28962"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","England","Country","NA","All","45-54","All","66.9","%","26890","17982","67.6","66.1","NA","27986"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","England","Country","NA","All","45-54","All","67.5","%","24153","16308","68.3","66.7","NA","25703"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","England","Country","NA","All","45-54","All","68.1","%","24305","16555","68.9","67.3","NA","25860"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","England","Country","NA","All","45-54","All","68.3","%","23034","15740","69.2","67.5","NA","24322"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","England","Country","NA","All","55-64","All","63.8","%","22895.8","14597.2","64.6","63","0.4","29525"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","England","Country","NA","All","55-64","All","62.6115321","%","23041.04219703","14426.349530123","63.4042316","61.8120037","NA","30153"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","England","Country","NA","All","55-64","All","59.5","%","23540","14000","60.3","58.7","NA","34000"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","England","Country","NA","All","55-64","All","60.8","%","23396","14214","61.5","60","NA","33242"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","England","Country","NA","All","55-64","All","61.7","%","21981","13555","62.5","60.9","NA","30672"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","England","Country","NA","All","55-64","All","63","%","22558","14222","63.8","62.3","NA","31010"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","England","Country","NA","All","55-64","All","62.9","%","22615","14214","63.7","62","NA","30343"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","England","Country","NA","All","65-74","All","61.3","%","20113.9","12321.3","62","60.5","0.4","29876"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","England","Country","NA","All","65-74","All","60.4702055","%","20226.527740366","12231.022888759","61.2041619","59.7314995","NA","30526"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","England","Country","NA","All","65-74","All","55.7","%","22186","12350","56.4","55","NA","34739"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","England","Country","NA","All","65-74","All","57","%","22104","12610","57.7","56.4","NA","34360"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","England","Country","NA","All","65-74","All","58.1","%","20312","11811","58.9","57.4","NA","31611"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","England","Country","NA","All","65-74","All","60.4","%","20628","12457","61.1","59.7","NA","30927"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","England","Country","NA","All","65-74","All","57.7","%","20183","11643","58.5","56.9","NA","29926"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","England","Country","NA","All","75+","All","41.4","%","17425.6","7220.2","42.3","40.5","0.5","19033"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","England","Country","NA","All","75+","All","39.6161645","%","17133.93870878","6787.809336116","40.5454008","38.6943644","NA","18200"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","England","Country","NA","All","75+","All","33.4","%","17328","5796","34.4","32.5","NA","17965"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","England","Country","NA","All","75+","All","33.8","%","16980","5732","34.6","32.9","NA","17652"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","England","Country","NA","All","75+","All","35.8","%","16126","5768","36.7","34.9","NA","16355"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","England","Country","NA","All","75+","All","40.9","%","16491","6749","41.9","40","NA","16324"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","England","Country","NA","All","75+","All","37.7","%","16207","6107","38.7","36.6","NA","16391"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","England","Country","NA","Female","16+","All","62.2","%","68902.9","42870.6","62.7","61.7","0.2","79839"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","England","Country","NA","Female","16+","All","60.9997144","%","70215.329410062","42831.150398042","61.4755633","60.5217624","NA","80604"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","England","Country","NA","Female","16+","All","60.7","%","79620","48359","61.2","60.3","NA","93117"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","England","Country","NA","Female","16+","All","60.8","%","78120","47510","61.2","60.4","NA","91093"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","England","Country","NA","Female","16+","All","61.7","%","71188","43932","62.2","61.2","NA","83073"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","England","Country","NA","Female","16+","All","63","%","72116","45435","63.5","62.5","NA","83826"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","England","Country","NA","Female","16+","All","61.8","%","70718","43684","62.3","61.3","NA","81058"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","England","Country","NA","Male","16+","All","66.9","%","64258.8","42973.4","67.4","66.3","0.3","63710"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","England","Country","NA","Male","16+","All","64.6773979","%","65460.263244522","42337.994897768","65.2109254","64.1401876","NA","65193"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","England","Country","NA","Male","16+","All","65.2","%","74297","48411","65.7","64.6","NA","73864"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","England","Country","NA","Male","16+","All","65.1","%","72836","47448","65.6","64.6","NA","72217"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","England","Country","NA","Male","16+","All","65.7","%","66851","43922","66.2","65.2","NA","66703"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","England","Country","NA","Male","16+","All","66.4","%","67422","44784","66.9","65.9","NA","67123"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","England","Country","NA","Male","16+","All","64.7","%","65677","42494","65.3","64.1","NA","65689"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","England","Country","NA","Other Gender","16+","All","65.7031675","%","476.422389467","313.024600376","73.0168135","57.5594115","NA","293"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","England","Country","NA","Other Gender","16+","All","?","%","?","?","?","?","NA","?"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","England","Country","NA","Other Gender","16+","All","?","%","?","?","?","?","NA","?"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","England","Country","NA","Other Gender","16+","All","?","%","?","?","?","?","NA","?"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","England","Country","NA","Other Gender","16+","All","59.9","%","251","150","69.5","49.4","NA","195"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","England","Country","NA","Other Gender","16+","All","53.8","%","327","176","64.7","42.5","NA","206"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","England","Country","NA","Other gender","16+","All","65.4","%","677","442.8","71.6","58.6","3.3","394"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","London","Region","NA","All","16+","All","69.9","%","11579.2","8089.6","71.1","68.6","0.6","7918"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","London","Region","NA","All","16+","All","67.5498474","%","12003.267088136","8108.188598203","68.8548576","66.2169848","NA","8104"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","London","Region","NA","All","16+","All","67.1","%","13723","9207","68.3","65.8","NA","10782"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","London","Region","NA","All","16+","All","66.9","%","13469","9008","68.1","65.6","NA","10250"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","London","Region","NA","All","16+","All","69.1","%","12093","8350","70.3","67.8","NA","8553"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","London","Region","NA","All","16+","All","70","%","12489","8746","71.3","68.7","NA","8424"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","London","Region","NA","All","16+","All","67.9","%","12134","8234","69.2","66.5","NA","8229"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","North East","Region","NA","All","16+","All","61.3","%","7796.7","4779.8","63.1","59.5","0.9","6704"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","North East","Region","NA","All","16+","All","59.5082707","%","7758.158867759","4616.746183308","61.3517439","57.6375814","NA","6815"
"Percentage of people who are active","White British","White British & Other","Nov 2015 to Nov 2016","North East","Region","NA","All","16+","All","60.4","%","8757","5287","61.9","58.8","NA","8305"
"Percentage of people who are active","White British","White British & Other","Nov 2016 to Nov 2017","North East","Region","NA","All","16+","All","60.7","%","8596","5222","62.2","59.3","NA","8166"
"Percentage of people who are active","White British","White British & Other","Nov 2017 to Nov 2018","North East","Region","NA","All","16+","All","60.5","%","7917","4786","62.3","58.6","NA","6523"
"Percentage of people who are active","White British","White British & Other","Nov 2018 to Nov 2019","North East","Region","NA","All","16+","All","61.3","%","7937","4868","63.1","59.5","NA","6731"
"Percentage of people who are active","White British","White British & Other","Nov 2019 to Nov 2020","North East","Region","NA","All","16+","All","60.1","%","7741","4655","62","58.2","NA","6779"
"Percentage of people who are active","White British","White British & Other","Nov 2021 to Nov 2022","North West","Region","NA","All","16+","All","62.7","%","18972.6","11888.7","63.5","61.8","0.5","22702"
"Percentage of people who are active","White British","White British & Other","Nov 2020 to Nov 2021","North West","Region","NA","All","16+","All","61.392918","%","19406.550249389","11914.247472292","62.2723164","60.5060216","NA","23014"
